Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RegistrationPrio,Chrome 126.0.0.0,,,2024-06-21 10:43:03,2024-06-21 10:44:35,1m - 32.441s,PASSED
,,,,,,,
Test Cases/Registration-USIM,Chrome 126.0.0.0,,,2024-06-21 10:43:03,2024-06-21 10:43:35,31.497s,PASSED
openBrowser(URL_Prioritas),Chrome 126.0.0.0,,,2024-06-21 10:43:04,2024-06-21 10:43:10,6.740s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,2024-06-21 10:43:10,2024-06-21 10:43:10,0.140s,PASSED
"OtherKeyword.selectObjectBasedOnIndex(findTestObject(""btn contains"", [""attr"":""@class"", ""val"":""btn-secondary""]), ""1"")",Chrome 126.0.0.0,,,2024-06-21 10:43:10,2024-06-21 10:43:13,2.146s,PASSED
"SupportMethod.selectRandomlyListobject(findTestObject(""btn contains"", [""attr"":""@class"", ""val"":""price""]))",Chrome 126.0.0.0,,,2024-06-21 10:43:13,2024-06-21 10:43:15,2.549s,PASSED
"click(findTestObject(""btn contains"", [""attr"":""@class"", ""val"":""btn-primary""]))",Chrome 126.0.0.0,,,2024-06-21 10:43:15,2024-06-21 10:43:16,0.720s,PASSED
"SupportMethod.selectRandomlyListobject(findTestObject(""btn contains"", [""attr"":""@class"", ""val"":""w-100""]))",Chrome 126.0.0.0,,,2024-06-21 10:43:16,2024-06-21 10:43:17,1.642s,PASSED
"SupportMethod.selectRandomlyListobject(findTestObject(""btn contains"", [""attr"":""@class"", ""val"":""select-square""]))",Chrome 126.0.0.0,,,2024-06-21 10:43:17,2024-06-21 10:43:19,1.101s,PASSED
"setText(findTestObject(""input"", [""attr"":""@name"", ""val"":""nama_lengkap""]), custName)",Chrome 126.0.0.0,,,2024-06-21 10:43:19,2024-06-21 10:43:20,1.374s,PASSED
"setText(findTestObject(""input"", [""attr"":""@name"", ""val"":""nomor_hp""]), contactNumber)",Chrome 126.0.0.0,,,2024-06-21 10:43:20,2024-06-21 10:43:22,1.676s,PASSED
"setText(findTestObject(""input"", [""attr"":""@name"", ""val"":""email""]), email)",Chrome 126.0.0.0,,,2024-06-21 10:43:22,2024-06-21 10:43:23,1.438s,PASSED
"setText(findTestObject(""input"", [""attr"":""@name"", ""val"":""re_email""]), email)",Chrome 126.0.0.0,,,2024-06-21 10:43:23,2024-06-21 10:43:24,0.990s,PASSED
