Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RegistrationPrio ESIM,Chrome 126.0.0.0,,,2024-06-22 09:41:56,2024-06-22 09:43:10,1m - 13.609s,PASSED
,,,,,,,
Test Cases/Registration-ESIM,Chrome 126.0.0.0,,,2024-06-22 09:41:57,2024-06-22 09:42:24,27.676s,PASSED
openBrowser(URL_Prioritas),Chrome 126.0.0.0,,,2024-06-22 09:41:57,2024-06-22 09:42:05,7.190s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,2024-06-22 09:42:05,2024-06-22 09:42:05,0.141s,PASSED
"OtherKeyword.selectObjectBasedOnIndex(findTestObject(""btn contains"", [""attr"":""@class"", ""val"":""btn-secondary""]), ""1"")",Chrome 126.0.0.0,,,2024-06-22 09:42:05,2024-06-22 09:42:07,1.999s,PASSED
"Keywords.OtherKeyword.selectObjectBasedOnIndex(findTestObject(""btn contains"", [""attr"":""@class"", ""val"":""radio_picker""]), ""1"")",Chrome 126.0.0.0,,,2024-06-22 09:42:07,2024-06-22 09:42:09,2.285s,PASSED
"SupportMethod.selectRandomlyListobject(findTestObject(""btn contains"", [""attr"":""@class"", ""val"":""price""]))",Chrome 126.0.0.0,,,2024-06-22 09:42:09,2024-06-22 09:42:10,0.634s,PASSED
"click(findTestObject(""btn contains"", [""attr"":""@class"", ""val"":""btn-primary""]))",Chrome 126.0.0.0,,,2024-06-22 09:42:10,2024-06-22 09:42:10,0.650s,PASSED
"SupportMethod.selectRandomlyListobject(findTestObject(""btn contains"", [""attr"":""@class"", ""val"":""w-100""]))",Chrome 126.0.0.0,,,2024-06-22 09:42:10,2024-06-22 09:42:14,3.808s,PASSED
"SupportMethod.selectRandomlyListobject(findTestObject(""btn contains"", [""attr"":""@class"", ""val"":""select-square""]))",Chrome 126.0.0.0,,,2024-06-22 09:42:14,2024-06-22 09:42:15,1.020s,PASSED
"setText(findTestObject(""input"", [""attr"":""@name"", ""val"":""nama_lengkap""]), custName)",Chrome 126.0.0.0,,,2024-06-22 09:42:15,2024-06-22 09:42:16,1.351s,PASSED
"setText(findTestObject(""input"", [""attr"":""@name"", ""val"":""nomor_hp""]), contactNumber)",Chrome 126.0.0.0,,,2024-06-22 09:42:16,2024-06-22 09:42:18,1.171s,PASSED
"setText(findTestObject(""input"", [""attr"":""@name"", ""val"":""email""]), email)",Chrome 126.0.0.0,,,2024-06-22 09:42:18,2024-06-22 09:42:19,0.951s,PASSED
"setText(findTestObject(""input"", [""attr"":""@name"", ""val"":""re_email""]), email)",Chrome 126.0.0.0,,,2024-06-22 09:42:19,2024-06-22 09:42:20,0.998s,PASSED
